NAME,B19013_001E,state,county,year
"Clay County, Illinois",48500,17,025,2019
"Gallatin County, Illinois",44076,17,059,2019
"Monroe County, Illinois",85747,17,133,2019
"Union County, Illinois",50625,17,181,2019
"Winnebago County, Illinois",54489,17,201,2019
"Pulaski County, Illinois",34640,17,153,2019
"Schuyler County, Illinois",52357,17,169,2019
"Edgar County, Illinois",53647,17,045,2019
"Boone County, Illinois",69272,17,007,2019
"Bureau County, Illinois",57436,17,011,2019
"Coles County, Illinois",46202,17,029,2019
"Crawford County, Illinois",49779,17,033,2019
"Putnam County, Illinois",63638,17,155,2019
"De Witt County, Illinois",55587,17,039,2019
"Lee County, Illinois",58194,17,103,2019
"Macoupin County, Illinois",55159,17,117,2019
"Richland County, Illinois",48894,17,159,2019
"Washington County, Illinois",61763,17,189,2019
"Washington County, Oregon",82215,41,067,2019
"Clatsop County, Oregon",54886,41,007,2019
"Cameron County, Pennsylvania",41165,42,023,2019
"Bucks County, Pennsylvania",89139,42,017,2019
"Lehigh County, Pennsylvania",63897,42,077,2019
"Clarion County, Pennsylvania",46680,42,031,2019
"Greene County, Pennsylvania",54776,42,059,2019
"Luzerne County, Pennsylvania",53473,42,079,2019
"Columbia County, Pennsylvania",50550,42,037,2019
"Jefferson County, Pennsylvania",47603,42,065,2019
"Perry County, Pennsylvania",63718,42,099,2019
"Sullivan County, Pennsylvania",47407,42,113,2019
"Kent County, Rhode Island",73521,44,003,2019
"Washington County, Rhode Island",85531,44,009,2019
"Newberry County, South Carolina",44226,45,071,2019
"Clarendon County, South Carolina",40900,45,027,2019
"Sumter County, South Carolina",45661,45,085,2019
"Barnwell County, South Carolina",35803,45,011,2019
"Darlington County, South Carolina",38448,45,031,2019
"York County, South Carolina",65361,45,091,2019
"Cherokee County, South Carolina",36883,45,021,2019
"Jasper County, South Carolina",45601,45,053,2019
"Lee County, South Carolina",32371,45,061,2019
"Abbeville County, South Carolina",38741,45,001,2019
"Lyman County, South Dakota",53862,46,085,2019
"Deuel County, South Dakota",65437,46,039,2019
"Glenn County, California",49633,06,021,2019
"Butte County, California",52537,06,007,2019
"Kings County, California",57848,06,031,2019
"Plumas County, California",55359,06,063,2019
"San Luis Obispo County, California",73518,06,079,2019
"Fresno County, California",53969,06,019,2019
"Kern County, California",53350,06,029,2019
"Orange County, California",90234,06,059,2019
"Ventura County, California",88131,06,111,2019
"Calaveras County, California",63158,06,009,2019
"Sutter County, California",59050,06,101,2019
"San Mateo County, California",122641,06,081,2019
"Tuolumne County, California",60108,06,109,2019
"San Joaquin County, California",64432,06,077,2019
"Amador County, California",62772,06,005,2019
"Phillips County, Colorado",51155,08,095,2019
"Archuleta County, Colorado",52221,08,007,2019
"Denver County, Colorado",68592,08,031,2019
"Kiowa County, Colorado",41731,08,061,2019
"Huerfano County, Colorado",38137,08,055,2019
"Baca County, Colorado",35878,08,009,2019
"Gilpin County, Colorado",76429,08,047,2019
"Kit Carson County, Colorado",49349,08,063,2019
"Gunnison County, Colorado",56577,08,051,2019
"Mineral County, Colorado",62188,08,079,2019
"Ouray County, Colorado",66417,08,091,2019
"Sedgwick County, Colorado",43150,08,115,2019
"Weld County, Colorado",74150,08,123,2019
"Custer County, Colorado",53119,08,027,2019
"Costilla County, Colorado",30965,08,023,2019
"Douglas County, Colorado",119730,08,035,2019
