state,county,year,median_household_income,annual_rent
48,367,2019,77503,1176.9304525257098
30,013,2019,49913,826.8680491280969
31,109,2019,60527,914.6992503176834
31,055,2019,64629,977.5202275862392
48,135,2019,62973,1491.1274011845796
48,085,2019,96913,1371.3248307243784
48,209,2019,68717,1323.3668661455142
48,039,2019,81447,1424.8226110415935
48,491,2019,87337,1348.264504377321
48,201,2019,61705,1295.661564753685
48,113,2019,59607,1292.9341661104227
48,251,2019,64359,1147.3946486403195
48,309,2019,49778,1042.0291474039411
48,339,2019,80902,1374.4571871328562
48,479,2019,46475,980.3498939622214
48,245,2019,51248,951.3431072125663
32,003,2019,59340,1256.7604360926232
33,015,2019,93756,1586.247461489265
33,011,2019,81460,1324.382170984198
34,021,2019,81057,1725.120812598853
34,035,2019,113611,1881.9540082187216
34,029,2019,70909,1692.720369480292
34,001,2019,62110,1212.93086710509
34,023,2019,89533,1793.6083845513822
34,007,2019,70451,1344.5872620655016
34,039,2019,80198,1818.1712440262534
34,017,2019,71189,2191.117246621251
34,019,2019,115379,1727.6424225933335
34,027,2019,115527,2119.2043124787783
35,043,2019,63802,1175.5792305196899
48,439,2019,67700,1237.3768920359018
48,139,2019,76871,1343.743380745251
48,381,2019,68261,1118.5649088968837
48,397,2019,100920,1535.3868146078928
48,441,2019,53143,978.2114469877538
48,099,2019,52893,848.7060434080398
48,375,2019,42528,712.5104671337194
50,007,2019,73647,1701.0554889588964
28,089,2019,71824,1307.1915557893492
28,121,2019,65996,1212.6038310750453
28,059,2019,51657,869.0827461273585
28,047,2019,47894,883.6435848498633
49,053,2019,59839,1340.1342380208755
49,057,2019,67244,982.6033263973885
49,035,2019,74865,1193.9095574090645
51,095,2019,87678,1336.5202264821528
51,540,2019,59471,1394.5762343814197
51,087,2019,70307,1218.7542000295434
51,177,2019,88628,1336.5157700741647
51,121,2019,57977,1217.2785905920546
51,107,2019,142299,1955.9273455147188
51,153,2019,107132,1630.1044190101231
42,043,2019,60715,907.5321099684361
42,055,2019,63379,765.9758746933476
42,089,2019,63934,1147.5797419647351
42,125,2019,63543,991.2267655451955
42,101,2019,45927,1353.8251886389814
42,133,2019,66457,888.0757565350082
42,041,2019,71269,1008.9959668761882
42,003,2019,61043,1141.3834744533294
42,129,2019,60471,716.0054729458479
42,021,2019,46659,607.9343443853523
42,029,2019,100214,1525.697136047392
42,011,2019,63728,940.8898236805363
29,047,2019,70510,1009.341392803317
29,189,2019,67420,994.1374727201164
29,019,2019,55328,831.0045165236346
29,095,2019,55134,951.3660812150832
51,550,2019,78640,1402.9710755615154
51,003,2019,79880,1413.8828320364585
51,740,2019,52175,1024.2991803671305
51,810,2019,76610,1331.455424529423
51,630,2019,65641,1370.0665318764284
51,700,2019,53215,996.4525338649378
51,680,2019,46409,851.0695141619908
51,199,2019,92069,1317.8659086080925
51,610,2019,127610,2087.381473025505
51,730,2019,38679,796.4550702191917
51,600,2019,116979,1962.0995986651596
51,770,2019,44230,805.3269789513855
51,800,2019,74884,1225.8366113418936
51,710,2019,51590,1073.2609622024218
51,041,2019,82599,1235.1995030950768
51,059,2019,124831,1915.401681981286
29,037,2019,69433,1195.3029627371209
29,183,2019,84978,1205.2308590583618
47,009,2019,56667,981.395419273886
47,187,2019,112962,1492.942913944895
47,093,2019,57470,1082.4507926478796
53,005,2019,69023,1226.3668773379798
53,011,2019,75253,1416.0694352311195
01,003,2020,61756,1279.8098300223644
21,151,2020,51649,696.9394401178615
23,019,2020,52128,1046.803671458926
23,031,2020,68932,1372.436457913336
27,003,2020,84379,1302.0920961673837
27,019,2020,104011,1530.2122723888845
47,125,2020,60878,1022.7629258636028
47,149,2020,68718,1283.4070591108332
47,157,2020,52092,1015.104041291539
47,165,2020,69878,1259.8038599831877
47,187,2020,111196,1521.2446799896343
47,189,2020,78962,1398.86489670651
49,011,2020,87570,1338.654658925792
49,035,2020,77128,1228.8904393384316
49,049,2020,77057,1342.4031073313442
49,053,2020,61747,1398.348568229225
49,057,2020,71275,1051.324495967109
29,037,2020,72522,1246.916527935438
29,101,2020,56440,741.6010360630789
29,510,2020,45782,967.0369238864247
12,005,2020,56483,1359.4866692825294
12,011,2020,60922,1660.5911813345156
12,017,2020,45689,1137.833134046936
12,031,2020,56769,1183.1421430947553
12,055,2020,43708,965.1949906707215
12,061,2020,57945,1472.2204358026138
12,073,2020,54675,1005.5953441496799
12,083,2020,46587,1112.2775328625808
12,087,2020,72012,2324.0006094345304
01,031,2020,56799,893.5481010038746
01,081,2020,52930,1067.1322894211062
01,097,2020,49625,849.2567574699657
01,115,2020,62531,1270.1920418645022
01,125,2020,54283,1166.0506469291588
06,001,2020,104888,2478.04537111724
06,007,2020,54972,1291.4575463849776
06,013,2020,103997,2358.06939911362
06,017,2020,83710,1749.304780088339
06,019,2020,57109,1415.625056498989
06,029,2020,54851,1211.085089185916
06,041,2020,121671,3030.5393232991014
06,047,2020,56330,1369.5083741433448
27,037,2020,88468,1359.3930771827515
27,109,2020,80403,1324.8930661365594
27,137,2020,57480,1187.9110011081336
27,139,2020,103261,1391.5523707774257
27,145,2020,65244,961.345130924318
27,163,2020,97584,1586.9303313454618
27,171,2020,87772,1359.1429087738527
51,013,2020,122604,2129.9490307733654
51,059,2020,127866,1921.0786126956666
51,087,2020,72295,1256.0479944297433
51,095,2020,91675,1376.5200865688273
51,107,2020,147111,2000.0864367061358
51,121,2020,59126,1307.382263711236
32,031,2020,68272,1485.6174940301435
22,005,2020,82594,1415.6119806937902
22,017,2020,42003,806.2516244905543
36,027,2020,81842,1465.4095643606079
36,055,2020,62087,1054.0787547094794
36,061,2020,89812,3169.466094229568
36,067,2020,62668,1107.596852294857
36,085,2020,85381,1775.4699466509437
37,019,2020,59763,1316.473205575221
37,025,2020,71177,1294.8005278117055
37,051,2020,48177,925.7185408889142
37,057,2020,50454,1006.4390561127724
06,053,2020,76943,2055.44504554507
06,055,2020,92219,2390.104800647256
06,059,2020,94441,2265.1008846598156
06,061,2020,93677,2016.824139409013
06,065,2020,70732,1795.7783923826273
06,067,2020,70684,1654.5142313514914
06,071,2020,65761,1727.4136911420812
06,073,2020,82426,2100.169239880055
06,075,2020,119136,3195.55630192818
06,077,2020,68628,1772.1507650071208
06,079,2020,77948,2014.8422017920875
06,081,2020,128091,3005.9119779303196
06,085,2020,130890,2889.403076178918
06,087,2020,89986,2586.6080415250754
06,095,2020,84638,1977.559585054253
06,097,2020,86173,2136.526032444815
06,107,2020,52534,1199.4823135590534
06,113,2020,73746,1803.7516741678344
05,031,2020,49730,997.9792402011591
05,085,2020,59278,982.9584120044354
29,019,2020,58740,860.1019505429307
29,047,2020,72047,1058.8252616407651
